ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,418.96,128,14.36,52184460
4096,2048,404.52,128,14.40,80373132
6144,2048,397.53,128,14.33,108561804
8192,2048,392.49,128,14.15,136750476
10240,2048,385.83,128,14.06,164939148
12288,2048,382.56,128,13.99,193127820
14336,2048,377.81,128,13.94,221316492
16384,2048,374.64,128,13.95,249505164
18432,2048,371.60,128,13.87,277693836
20480,2048,368.76,128,13.81,305882508
22528,2048,365.13,128,13.74,334071180
24576,2048,361.70,128,13.67,362259852
26624,2048,358.55,128,13.57,390448524
28672,2048,354.77,128,13.50,418637196
30720,2048,351.09,128,13.41,446825868
32768,2048,347.72,128,13.03,475014540
34816,2048,332.99,128,12.93,503203212
36864,2048,329.32,128,12.88,531391884
38912,2048,325.56,128,12.84,559580556
40960,2048,325.87,128,12.82,587769228
43008,2048,325.60,128,12.77,615957900
45056,2048,323.42,128,12.71,644146572
47104,2048,320.99,128,12.66,672335244
49152,2048,316.16,128,12.63,700523916
51200,2048,309.44,128,12.56,728712588
53248,2048,302.72,128,12.47,756901260
55296,2048,296.85,128,12.41,785089932
57344,2048,294.90,128,12.36,813278604
59392,2048,289.23,128,12.31,841467276
61440,2048,285.78,128,12.24,869655948
63488,2048,279.34,128,12.18,897844620
65536,2048,277.01,128,12.14,926033292
