ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,409.74,128,16.77,52184460
4096,2048,394.90,128,14.73,80373132
6144,2048,383.68,128,19.32,108561804
8192,2048,379.35,128,14.83,136750476
10240,2048,371.52,128,17.20,164939148
12288,2048,359.87,128,15.10,193127820
14336,2048,364.28,128,16.92,221316492
16384,2048,370.08,128,15.08,249505164
18432,2048,368.50,128,15.94,277693836
20480,2048,365.25,128,18.18,305882508
22528,2048,358.81,128,15.28,334071180
24576,2048,350.73,128,15.18,362259852
26624,2048,342.84,128,15.54,390448524
28672,2048,339.76,128,15.90,418637196
30720,2048,345.86,128,15.59,446825868
32768,2048,346.22,128,15.43,475014540
34816,2048,333.77,128,14.92,503203212
36864,2048,331.77,128,13.65,531391884
38912,2048,330.16,128,13.46,559580556
40960,2048,325.03,128,14.86,587769228
43008,2048,318.56,128,12.98,615957900
45056,2048,312.29,128,13.15,644146572
47104,2048,307.82,128,13.39,672335244
49152,2048,305.41,128,13.37,700523916
51200,2048,300.23,128,12.80,728712588
53248,2048,306.41,128,12.80,756901260
55296,2048,307.67,128,13.02,785089932
57344,2048,306.68,128,13.90,813278604
59392,2048,303.35,128,13.12,841467276
61440,2048,299.27,128,12.38,869655948
63488,2048,293.17,128,12.73,897844620
65536,2048,288.84,128,12.89,926033292
